district_normalized,year,crime_head,data_source,data_classification,cases_reported
Belagavi City,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,130
Belagavi City,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,125
Belagavi City,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,54
Belagavi City,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,15
Belagavi City,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,390
Belagavi City,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,28
Belagavi City,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,16
Belagavi City,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,11
Belagavi City,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,57
Belagavi City,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,28
Belagavi City,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,35
Belagavi City,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,270
Belagavi City,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1655
Belagavi City,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,652
Belagavi Dist,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,447
Belagavi Dist,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,119
Belagavi Dist,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,181
Belagavi Dist,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,113
Belagavi Dist,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,71
Belagavi Dist,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,8
Belagavi Dist,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,3
Belagavi Dist,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,13
Belagavi Dist,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,696
Belagavi Dist,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,841
Belagavi Dist,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,188
Belagavi Dist,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,70
Belagavi Dist,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1243
Belagavi Dist,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,128
Belagavi Dist,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,94
Belagavi Dist,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,17
Belagavi Dist,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,228
Belagavi Dist,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,19
Belagavi Dist,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,85
Belagavi Dist,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,428
Belagavi Dist,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,4535
Belagavi Dist,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2059
Belagavi District,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,4955
Belagavi District,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1830
Bengaluru District,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,7568
Bengaluru District,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1853
Bengaluru Urban,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,41637
Bengaluru Urban,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,26883
Bengaluru Urban,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,4453
Bengaluru Urban,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,578
Bengaluru Urban,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1297
Bengaluru Urban,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,767
Bengaluru Urban,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,18557
Bengaluru Urban,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,103
Bengaluru Urban,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,30
Bengaluru Urban,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,922
Bengaluru Urban,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1599
Bengaluru Urban,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,648
Bengaluru Urban,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1482
Bengaluru Urban,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,242
Bengaluru Urban,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,5750
Bengaluru Urban,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,719
Bengaluru Urban,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,496
Bengaluru Urban,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,195
Bengaluru Urban,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,183
Bengaluru Urban,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,783
Bengaluru Urban,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,336
Bengaluru Urban,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,11193
Bengaluru Urban,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,47258
Bengaluru Urban,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,21414
Bidar,2023,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,3110
Bidar,2023,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1224
Bidar,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,556
Bidar,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,54
Bidar,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,134
Bidar,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,117
Bidar,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,44
Bidar,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,3
Bidar,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,2
Bidar,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,23
Bidar,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,315
Bidar,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,459
Bidar,2024,Molestation,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,52
Bidar,2024,Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,31
Bidar,2024,Non-Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,744
Bidar,2024,Pocso,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,59
Bidar,2024,Pocso Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,40
Bidar,2024,Rape,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,11
Bidar,2024,Riots,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,137
Bidar,2024,Robbery,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,11
Bidar,2024,Sc/St,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,27
Bidar,2024,Theft,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,303
Bidar,2025,Total IPC,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,3054
Bidar,2025,Total SLL,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1172
Chamarajanagar,2024,Assault,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,358
Chamarajanagar,2024,Attempt To Murder,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,53
Chamarajanagar,2024,Burglary,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,99
Chamarajanagar,2024,Cruelty By Husband,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,26
Chamarajanagar,2024,Cyber Fraud,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,29
Chamarajanagar,2024,Dacoity,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,1
Chamarajanagar,2024,Dowry Deaths,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,3
Chamarajanagar,2024,Dp Act,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,14
Chamarajanagar,2024,Fatal Motor Accidents,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,234
Chamarajanagar,2024,Gambling,OpenCity.in / Karnataka Police (2023-2025),official_aggregate,115
